PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
EmissionActivityRatio,BAU,ECU,T5CABGAN,,CH4_FERMEN,1,2012,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5CABGAN,,CH4_FERMEN,1,2013,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5CABGAN,,CH4_FERMEN,1,2014,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5CABGAN,,CH4_FERMEN,1,2015,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5CABGAN,,CH4_FERMEN,1,2016,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5CABGAN,,CH4_FERMEN,1,2017,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5CABGAN,,CH4_FERMEN,1,2018,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5CABGAN,,CH4_FERMEN,1,2019,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5CABGAN,,CH4_FERMEN,1,2020,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5CABGAN,,CH4_FERMEN,1,2021,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5CABGAN,,CH4_FERMEN,1,2022,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5CABGAN,,CH4_FERMEN,1,2023,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5CABGAN,,CH4_FERMEN,1,2024,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5CABGAN,,CH4_FERMEN,1,2025,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5CABGAN,,CH4_FERMEN,1,2026,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5CABGAN,,CH4_FERMEN,1,2027,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5CABGAN,,CH4_FERMEN,1,2028,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5CABGAN,,CH4_FERMEN,1,2029,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5CABGAN,,CH4_FERMEN,1,2030,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5CABGAN,,CH4_FERMEN,1,2031,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5CABGAN,,CH4_FERMEN,1,2032,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5CABGAN,,CH4_FERMEN,1,2033,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5CABGAN,,CH4_FERMEN,1,2034,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5CABGAN,,CH4_FERMEN,1,2035,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5MULGAN,,CH4_FERMEN,1,2010,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5MULGAN,,CH4_FERMEN,1,2011,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5MULGAN,,CH4_FERMEN,1,2012,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5MULGAN,,CH4_FERMEN,1,2013,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5MULGAN,,CH4_FERMEN,1,2014,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5MULGAN,,CH4_FERMEN,1,2015,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5MULGAN,,CH4_FERMEN,1,2016,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5MULGAN,,CH4_FERMEN,1,2017,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5MULGAN,,CH4_FERMEN,1,2018,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5MULGAN,,CH4_FERMEN,1,2019,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5MULGAN,,CH4_FERMEN,1,2020,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5MULGAN,,CH4_FERMEN,1,2021,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5MULGAN,,CH4_FERMEN,1,2022,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5MULGAN,,CH4_FERMEN,1,2023,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5MULGAN,,CH4_FERMEN,1,2024,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5MULGAN,,CH4_FERMEN,1,2025,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5MULGAN,,CH4_FERMEN,1,2026,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5MULGAN,,CH4_FERMEN,1,2027,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5MULGAN,,CH4_FERMEN,1,2028,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5MULGAN,,CH4_FERMEN,1,2029,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5MULGAN,,CH4_FERMEN,1,2030,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5MULGAN,,CH4_FERMEN,1,2031,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5MULGAN,,CH4_FERMEN,1,2032,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5MULGAN,,CH4_FERMEN,1,2033,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5MULGAN,,CH4_FERMEN,1,2034,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5MULGAN,,CH4_FERMEN,1,2035,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5CERGAN,,CH4_FERMEN,1,2010,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5CERGAN,,CH4_FERMEN,1,2011,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5CERGAN,,CH4_FERMEN,1,2012,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5CERGAN,,CH4_FERMEN,1,2013,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5CERGAN,,CH4_FERMEN,1,2014,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5CERGAN,,CH4_FERMEN,1,2015,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5CERGAN,,CH4_FERMEN,1,2016,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5CERGAN,,CH4_FERMEN,1,2017,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5CERGAN,,CH4_FERMEN,1,2018,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5CERGAN,,CH4_FERMEN,1,2019,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5CERGAN,,CH4_FERMEN,1,2020,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5CERGAN,,CH4_FERMEN,1,2021,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5CERGAN,,CH4_FERMEN,1,2022,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5CERGAN,,CH4_FERMEN,1,2023,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5CERGAN,,CH4_FERMEN,1,2024,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5CERGAN,,CH4_FERMEN,1,2025,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5CERGAN,,CH4_FERMEN,1,2026,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5CERGAN,,CH4_FERMEN,1,2027,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5CERGAN,,CH4_FERMEN,1,2028,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5CERGAN,,CH4_FERMEN,1,2029,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5CERGAN,,CH4_FERMEN,1,2030,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5CERGAN,,CH4_FERMEN,1,2031,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5CERGAN,,CH4_FERMEN,1,2032,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5CERGAN,,CH4_FERMEN,1,2033,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5CERGAN,,CH4_FERMEN,1,2034,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5CERGAN,,CH4_FERMEN,1,2035,,,,,,0.2317
EmissionActivityRatio,BAU,ECU,T5BOVCREGAN,,CH4_GED,1,2010,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5BOVCREGAN,,CH4_GED,1,2011,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5BOVCREGAN,,CH4_GED,1,2012,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5BOVCREGAN,,CH4_GED,1,2013,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5BOVCREGAN,,CH4_GED,1,2014,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5BOVCREGAN,,CH4_GED,1,2015,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5BOVCREGAN,,CH4_GED,1,2016,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5BOVCREGAN,,CH4_GED,1,2017,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5BOVCREGAN,,CH4_GED,1,2018,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5BOVCREGAN,,CH4_GED,1,2019,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5BOVCREGAN,,CH4_GED,1,2020,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5BOVCREGAN,,CH4_GED,1,2021,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5BOVCREGAN,,CH4_GED,1,2022,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5BOVCREGAN,,CH4_GED,1,2023,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5BOVCREGAN,,CH4_GED,1,2024,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5BOVCREGAN,,CH4_GED,1,2025,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5BOVCREGAN,,CH4_GED,1,2026,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5BOVCREGAN,,CH4_GED,1,2027,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5BOVCREGAN,,CH4_GED,1,2028,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5BOVCREGAN,,CH4_GED,1,2029,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5BOVCREGAN,,CH4_GED,1,2030,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5BOVCREGAN,,CH4_GED,1,2031,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5BOVCREGAN,,CH4_GED,1,2032,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5BOVCREGAN,,CH4_GED,1,2033,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5BOVCREGAN,,CH4_GED,1,2034,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5BOVCREGAN,,CH4_GED,1,2035,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5BUFGAN,,CH4_GED,1,2010,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5BUFGAN,,CH4_GED,1,2011,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5BUFGAN,,CH4_GED,1,2012,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5BUFGAN,,CH4_GED,1,2013,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5BUFGAN,,CH4_GED,1,2014,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5BUFGAN,,CH4_GED,1,2015,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5BUFGAN,,CH4_GED,1,2016,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5BUFGAN,,CH4_GED,1,2017,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5BUFGAN,,CH4_GED,1,2018,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5BUFGAN,,CH4_GED,1,2019,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5BUFGAN,,CH4_GED,1,2020,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5BUFGAN,,CH4_GED,1,2021,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5BUFGAN,,CH4_GED,1,2022,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5BUFGAN,,CH4_GED,1,2023,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5BUFGAN,,CH4_GED,1,2024,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5BUFGAN,,CH4_GED,1,2025,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5BUFGAN,,CH4_GED,1,2026,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5BUFGAN,,CH4_GED,1,2027,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5BUFGAN,,CH4_GED,1,2028,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5BUFGAN,,CH4_GED,1,2029,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5BUFGAN,,CH4_GED,1,2030,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5BUFGAN,,CH4_GED,1,2031,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5BUFGAN,,CH4_GED,1,2032,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5BUFGAN,,CH4_GED,1,2033,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5BUFGAN,,CH4_GED,1,2034,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5BUFGAN,,CH4_GED,1,2035,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5OVEGAN,,CH4_GED,1,2010,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5OVEGAN,,CH4_GED,1,2011,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5OVEGAN,,CH4_GED,1,2012,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5OVEGAN,,CH4_GED,1,2013,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5OVEGAN,,CH4_GED,1,2014,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5OVEGAN,,CH4_GED,1,2015,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5OVEGAN,,CH4_GED,1,2016,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5OVEGAN,,CH4_GED,1,2017,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5OVEGAN,,CH4_GED,1,2018,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5OVEGAN,,CH4_GED,1,2019,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5OVEGAN,,CH4_GED,1,2020,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5OVEGAN,,CH4_GED,1,2021,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5OVEGAN,,CH4_GED,1,2022,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5OVEGAN,,CH4_GED,1,2023,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5OVEGAN,,CH4_GED,1,2024,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5OVEGAN,,CH4_GED,1,2025,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5OVEGAN,,CH4_GED,1,2026,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5OVEGAN,,CH4_GED,1,2027,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5OVEGAN,,CH4_GED,1,2028,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5OVEGAN,,CH4_GED,1,2029,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5OVEGAN,,CH4_GED,1,2030,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5OVEGAN,,CH4_GED,1,2031,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5OVEGAN,,CH4_GED,1,2032,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5OVEGAN,,CH4_GED,1,2033,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5OVEGAN,,CH4_GED,1,2034,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5OVEGAN,,CH4_GED,1,2035,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CBRGAN,,CH4_GED,1,2010,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CBRGAN,,CH4_GED,1,2011,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CBRGAN,,CH4_GED,1,2012,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CBRGAN,,CH4_GED,1,2013,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CBRGAN,,CH4_GED,1,2014,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CBRGAN,,CH4_GED,1,2015,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CBRGAN,,CH4_GED,1,2016,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CBRGAN,,CH4_GED,1,2017,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CBRGAN,,CH4_GED,1,2018,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CBRGAN,,CH4_GED,1,2019,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CBRGAN,,CH4_GED,1,2020,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CBRGAN,,CH4_GED,1,2021,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CBRGAN,,CH4_GED,1,2022,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CBRGAN,,CH4_GED,1,2023,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CBRGAN,,CH4_GED,1,2024,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CBRGAN,,CH4_GED,1,2025,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CBRGAN,,CH4_GED,1,2026,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CBRGAN,,CH4_GED,1,2027,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CBRGAN,,CH4_GED,1,2028,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CBRGAN,,CH4_GED,1,2029,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CBRGAN,,CH4_GED,1,2030,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CBRGAN,,CH4_GED,1,2031,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CBRGAN,,CH4_GED,1,2032,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CBRGAN,,CH4_GED,1,2033,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CBRGAN,,CH4_GED,1,2034,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CBRGAN,,CH4_GED,1,2035,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CAMGAN,,CH4_GED,1,2010,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CAMGAN,,CH4_GED,1,2011,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CAMGAN,,CH4_GED,1,2012,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CAMGAN,,CH4_GED,1,2013,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CAMGAN,,CH4_GED,1,2014,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CAMGAN,,CH4_GED,1,2015,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CAMGAN,,CH4_GED,1,2016,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CAMGAN,,CH4_GED,1,2017,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CAMGAN,,CH4_GED,1,2018,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CAMGAN,,CH4_GED,1,2019,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CAMGAN,,CH4_GED,1,2020,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CAMGAN,,CH4_GED,1,2021,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CAMGAN,,CH4_GED,1,2022,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CAMGAN,,CH4_GED,1,2023,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CAMGAN,,CH4_GED,1,2024,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CAMGAN,,CH4_GED,1,2025,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CAMGAN,,CH4_GED,1,2026,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CAMGAN,,CH4_GED,1,2027,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CAMGAN,,CH4_GED,1,2028,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CAMGAN,,CH4_GED,1,2029,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CAMGAN,,CH4_GED,1,2030,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CAMGAN,,CH4_GED,1,2031,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CAMGAN,,CH4_GED,1,2032,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CAMGAN,,CH4_GED,1,2033,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CAMGAN,,CH4_GED,1,2034,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CAMGAN,,CH4_GED,1,2035,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CABGAN,,CH4_GED,1,2010,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CABGAN,,CH4_GED,1,2011,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CABGAN,,CH4_GED,1,2012,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CABGAN,,CH4_GED,1,2013,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CABGAN,,CH4_GED,1,2014,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CABGAN,,CH4_GED,1,2015,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CABGAN,,CH4_GED,1,2016,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CABGAN,,CH4_GED,1,2017,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CABGAN,,CH4_GED,1,2018,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CABGAN,,CH4_GED,1,2019,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CABGAN,,CH4_GED,1,2020,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CABGAN,,CH4_GED,1,2021,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CABGAN,,CH4_GED,1,2022,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CABGAN,,CH4_GED,1,2023,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CABGAN,,CH4_GED,1,2024,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CABGAN,,CH4_GED,1,2025,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CABGAN,,CH4_GED,1,2026,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CABGAN,,CH4_GED,1,2027,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CABGAN,,CH4_GED,1,2028,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CABGAN,,CH4_GED,1,2029,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CABGAN,,CH4_GED,1,2030,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CABGAN,,CH4_GED,1,2031,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CABGAN,,CH4_GED,1,2032,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CABGAN,,CH4_GED,1,2033,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CABGAN,,CH4_GED,1,2034,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CABGAN,,CH4_GED,1,2035,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5MULGAN,,CH4_GED,1,2010,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5MULGAN,,CH4_GED,1,2011,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5MULGAN,,CH4_GED,1,2012,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5MULGAN,,CH4_GED,1,2013,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5MULGAN,,CH4_GED,1,2014,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5MULGAN,,CH4_GED,1,2015,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5MULGAN,,CH4_GED,1,2016,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5MULGAN,,CH4_GED,1,2017,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5MULGAN,,CH4_GED,1,2018,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5MULGAN,,CH4_GED,1,2019,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5MULGAN,,CH4_GED,1,2020,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5MULGAN,,CH4_GED,1,2021,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5MULGAN,,CH4_GED,1,2022,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5MULGAN,,CH4_GED,1,2023,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5MULGAN,,CH4_GED,1,2024,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5MULGAN,,CH4_GED,1,2025,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5MULGAN,,CH4_GED,1,2026,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5MULGAN,,CH4_GED,1,2027,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5MULGAN,,CH4_GED,1,2028,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5MULGAN,,CH4_GED,1,2029,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5MULGAN,,CH4_GED,1,2030,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5MULGAN,,CH4_GED,1,2031,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5MULGAN,,CH4_GED,1,2032,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5MULGAN,,CH4_GED,1,2033,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5MULGAN,,CH4_GED,1,2034,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5MULGAN,,CH4_GED,1,2035,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CERGAN,,CH4_GED,1,2010,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CERGAN,,CH4_GED,1,2011,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CERGAN,,CH4_GED,1,2012,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CERGAN,,CH4_GED,1,2013,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CERGAN,,CH4_GED,1,2014,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CERGAN,,CH4_GED,1,2015,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CERGAN,,CH4_GED,1,2016,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CERGAN,,CH4_GED,1,2017,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CERGAN,,CH4_GED,1,2018,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CERGAN,,CH4_GED,1,2019,,,,,,0.0106
EmissionActivityRatio,BAU,ECU,T5CERGAN,,CH4_GED,1,2020,,,,,,0.0106
